Date,Market,Keyword,Average.Position,CPC,CTR (%),Impressions,Cost
20130214,US-Market,laser hair removal new york,1,35.23,2.00,653,454.11
20130214,US-Market,comcast high speed,0,0,0.00,0,0
20130214,US-Market,personal yahoo,0,0,0.00,0,0
20130214,US-Market,san diego dui attorney,1,21.19,2.50,265,138.95
20130214,US-Market,michigan personal injury,0,0,0.00,0,0
20130214,US-Market,automobile law lemon,0,0,0.00,0,0
20130214,US-Market,cheap insurance life term,0,0,0.00,0,0
20130214,US-Market,home loans refinancing,1,5.59,4.20,780,181.82
20130214,US-Market,consolidate college loans,0,0,0.00,0,0
20130214,US-Market,cheap life insurance,1,85.24,2.60,6880,15116.13
20130214,US-Market,vioxx law suit,0,0,0.00,0,0
20130214,US-Market,student loan refinance,1,11.28,2.00,390,89.75
20130214,US-Market,car hire alicante spain,0,0,0.00,0,0
20130214,US-Market,tax attorney,1,10.85,3.60,19727,7632.08
20130214,US-Market,refinancing my home,1,1.96,3.30,131,8.58
20130214,US-Market,criminal dallas lawyer,0,0,0.00,0,0
20130214,US-Market,line of credit home equity,1,0.8,3.90,131,4.07
20130214,US-Market,litigation vioxx,0,0,0.00,0,0
20130214,US-Market,at and t phones,1,6.79,5.20,127,44.98
20130214,US-Market,criminal defense attorney los angeles,1,62.72,3.20,131,261.05
20130214,US-Market,commodity online trading,0,0,0.00,0,0
20130214,US-Market,home equity rates,1,10.93,2.00,390,85.88
20130214,US-Market,adsense,1,1.11,1.90,14114,304.85
20130214,US-Market,law lemon mass,0,0,0.00,0,0
20130214,US-Market,equity home,0,0,0.00,0,0
20130214,US-Market,arizona law lemon,0,0,0.00,0,0
20130214,US-Market,child molestation attorney,0,0,0.00,0,0
20130214,US-Market,home line of credit,1,25.57,2.40,259,158.37
20130214,US-Market,alicante car rental spain,0,0,0.00,0,0
20130214,US-Market,attorney defense federal,0,0,0.00,0,0
20130214,US-Market,san diego criminal attorney,0,0,0.00,0,0
20130214,US-Market,injury lawyer new york,1,158.78,2.80,255,1138.94
20130214,US-Market,attorney injury new personal york,0,0,0.00,0,0
20130214,US-Market,at and t mobile,1,0.73,3.90,128,3.67
20130214,US-Market,pleural mesothelioma,0,0,0.00,0,0
20130214,US-Market,augmentation breast diego san,0,0,0.00,0,0
20130214,US-Market,home equity poor credit,1,14.61,2.00,134,39.46
20130214,US-Market,health insurance temporary,0,0,0.00,0,0
20130214,US-Market,compensation mesothelioma,0,0,0.00,0,0
20130214,US-Market,21st century insurance,1,208.77,2.20,4441,19952.11
20130214,US-Market,cheap insurance medical,1,20.7,2.70,922,517.21
20130214,US-Market,angeles criminal lawyer los,0,0,0.00,0,0
20130214,US-Market,low cost term life insurance,1,71.81,3.80,255,700.54
20130214,US-Market,home refinance loans,1,11.55,3.60,2466,1024.71
20130214,US-Market,eloan,1,2.59,2.30,131,7.98
20130214,US-Market,life insurance quote,1,17.6,2.90,10980,5627.84
20130214,US-Market,cheap life assurance,0,0,0.00,0,0
20130214,US-Market,anti spam exchange,1,4.04,3.30,131,17.26
20130214,US-Market,credit equity home line,0,0,0.00,0,0
20130214,US-Market,att go phone,1,3.38,4.10,1968,274.46
20130214,US-Market,dui florida lawyer,0,0,0.00,0,0
20130214,US-Market,hair removal new york,1,21.01,1.80,128,48.21
20130214,US-Market,merchant account international,0,0,0.00,0,0
20130214,US-Market,vioxx class action,0,0,0.00,0,0
20130214,US-Market,life insurance quote online,1,70.79,2.70,1570,2946.64
20130214,US-Market,consolidation loan,1,16.22,2.70,3128,1352.1
20130214,US-Market,equity line of credit,1,24.4,2.70,901,587.35
20130214,US-Market,carolina law lemon north,0,0,0.00,0,0
20130214,US-Market,equity rates,1,8.18,1.70,127,17.79
20130214,US-Market,direct home insurance line,0,0,0.00,0,0
20130214,US-Market,angeles attorney los tax,0,0,0.00,0,0
20130214,US-Market,credit home line,1,11.36,2.70,134,41.92
20130214,US-Market,term insurance,1,18.15,3.20,7482,4376.38
20130214,US-Market,auto insurances,1,20.26,6.50,393,515.58
20130214,US-Market,debtfreedirect,0,0,0.00,0,0
20130214,US-Market,refinance comparison,0,0,0.00,0,0
20130214,US-Market,acid reflux treatment,1,4.81,2.90,1441,203.57
20130214,US-Market,bad credit mortgage refinance,1,28.5,2.00,265,151.17
20130214,US-Market,college loan refinance,0,0,0.00,0,0
20130214,UK-Market,egg credit card,1,6.93,3.30,272,61.85
20130214,UK-Market,student consolidation loans,0,0,0.00,0,0
20130214,UK-Market,microsoft anti spam,0,0,0.00,0,0
20130214,UK-Market,mesothelioma prognosis,1,14.03,1.80,27,6.92
20130214,UK-Market,second mortgages,1,1.96,3.40,152,10.03
20130214,UK-Market,auto century insurance,0,0,0.00,0,0
20130214,UK-Market,employee florida leasing,0,0,0.00,0,0
20130214,UK-Market,federal consolidation loan,0,0,0.00,0,0
20130214,UK-Market,equity loan,1,8.32,2.30,303,58.49
20130214,UK-Market,personal injury attorney colorado,0,0,0.00,0,0
20130214,UK-Market,accident lawyer michigan,0,0,0.00,0,0
20130214,UK-Market,refinancing with bad credit,0,0,0.00,0,0
20130214,UK-Market,home equity line of credit rates,0,0,0.00,0,0
20130214,UK-Market,federal consolidation,0,0,0.00,0,0
20130214,UK-Market,non profit debt consolidation,0,0,0.00,0,0
20130214,UK-Market,pay per click affiliate,1,29.64,2.90,29,25.81
20130214,UK-Market,city hair new removal york,0,0,0.00,0,0
20130214,UK-Market,acid reflux disease diet,0,0,0.00,0,0
20130214,UK-Market,refinance poor credit,0,0,0.00,0,0
20130214,UK-Market,equity loans,1,6.1,3.90,274,64.57
20130214,UK-Market,student loan consolidate,0,0,0.00,0,0
20130214,UK-Market,consolidate loans,1,58.94,5.00,399,1167.73
20130214,UK-Market,secured loans,1,25.87,3.60,2092,1968.71
20130214,UK-Market,criminal lawyer new york,0,0,0.00,0,0
